variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	num_eigenvalues	combination	n_unique	cos	cos_std	n_parcel	n_task
0.031541529968930594	0.013644573266395134	-10422.210515539751	-1000000008750.7694	-44.435866529491236	-66.85601320597327	7	(0, 8, 10, 16, 18, 24, 26)	7	0.7992652058601379	0.07393950968980789	2	7
0.037205161701944024	0.015588077923481857	-9097.096845480546	-1000000008302.9277	-43.4822761505852	-66.35121709353191	7	(4, 8, 10, 12, 15, 19, 22)	7	0.7841227054595947	0.07065054774284363	2	7
0.03954653496710093	0.02027735934155236	-6313.204118425967	-1000000003530.6886	-41.36395059494475	-63.58565087407737	7	(2, 8, 10, 17, 23, 24, 27)	7	0.7997962832450867	0.07015025615692139	2	7
0.03046471074342737	0.013454452567867542	-47166.999688560776	-1000000030226.7695	-45.462172871730445	-68.0988248815147	7	(4, 11, 12, 14, 20, 25, 26)	7	0.7791112065315247	0.07503649592399597	2	7
0.03840530141706456	0.019999214125214746	-2955.4092710388004	-1000000002703.4845	-39.80195536200586	-62.992911994997975	7	(0, 3, 11, 14, 20, 23, 27)	7	0.7828304171562195	0.07327581197023392	2	7
0.039562543509593776	0.011476673178502234	-19219.175589897946	-1000000015360.7954	-45.62340518670079	-68.7918022778399	7	(7, 11, 12, 17, 19, 22, 27)	7	0.7920379638671875	0.06766107678413391	2	7
0.042356064340650056	0.0178436945498656	-4713.467641203654	-1000000003714.3069	-41.53121589881489	-64.43654833073117	7	(0, 3, 7, 8, 12, 15, 17)	7	0.7930504679679871	0.07294411957263947	2	7
0.03353216189633521	0.013548806731974233	-5978.896698804409	-1000000005066.1587	-43.426527759466516	-66.23524672625109	7	(4, 9, 14, 16, 19, 22, 26)	7	0.7802316546440125	0.07297694683074951	2	7
0.033401105953907106	0.016899217606816223	-13364.77382288288	-1000000010828.2108	-43.84495223671655	-66.30248958793368	7	(2, 3, 6, 8, 11, 13, 25)	7	0.7861363291740417	0.0731363445520401	2	7
0.04182688351202957	0.015056581507602803	-1000000005467.9862	-2000000003496.5293	-63.512206337591685	-86.32555557953226	7	(5, 6, 9, 15, 18, 21, 27)	7	0.7784745693206787	0.0744868740439415	2	7
0.036626938340477984	0.014220690699039949	-1000000008187.0282	-2000000007770.8376	-64.73111469063616	-87.76049169485381	7	(6, 11, 13, 15, 21, 25, 26)	7	0.7782955169677734	0.07773738354444504	2	7
0.0388004943101499	0.012610008404513425	-1000000004532.601	-2000000004342.92	-63.39495138057013	-87.12019883442277	7	(5, 14, 16, 17, 21, 22, 27)	7	0.7812113761901855	0.07216229289770126	2	7
0.03331092381886922	0.01539313187215584	-11874.26798599896	-1000000011238.2614	-43.761272451016794	-66.65034799392211	7	(4, 10, 14, 16, 18, 20, 22)	7	0.7899801731109619	0.07372292131185532	2	7
0.03909669111404276	0.016216502170968698	-5282.750464904417	-1000000004393.5105	-42.057664359665196	-65.11599823580627	7	(1, 2, 3, 4, 9, 21, 27)	7	0.7890896797180176	0.0723954513669014	2	7
0.0323634103833663	0.017835189034882033	-4760.5704846639	-1000000003789.5486	-41.34059452965111	-64.02194965968579	7	(3, 4, 5, 9, 12, 20, 23)	7	0.7763089537620544	0.0700819343328476	2	7
0.029413530238785242	0.017093287546499258	-4377.398339317726	-1000000003421.5337	-42.007311370945345	-64.17622571228033	7	(4, 8, 12, 13, 17, 23, 24)	7	0.7924396395683289	0.07163163274526596	2	7
0.04007412814555207	0.019380763416942823	-4594.702035616011	-1000000004188.4207	-41.04237953208537	-64.06034646224545	7	(2, 10, 13, 14, 16, 19, 25)	7	0.7739107012748718	0.07380739599466324	2	7
0.034962355632338564	0.014903669462305055	-18563.61813149559	-1000000017385.5237	-44.55795886448174	-67.54133601847202	7	(0, 3, 4, 8, 16, 26, 27)	7	0.799137532711029	0.07108737528324127	2	7
0.03393845095838296	0.018369260016765206	-4071.581597495895	-1000000003345.8027	-41.269184306595704	-63.8184160774372	7	(2, 3, 9, 10, 13, 24, 27)	7	0.7916228175163269	0.06683969497680664	2	7
0.02614877787155453	0.012429059314269133	-7253.795472041234	-1000000007057.6083	-44.25765588752199	-67.3662246015084	7	(0, 11, 12, 13, 14, 20, 22)	7	0.7808824181556702	0.07533387839794159	2	7
0.04421411692434527	0.018677377242634532	-4839.250456995276	-1000000004287.7437	-40.85169055858549	-64.34939649909218	7	(0, 1, 3, 11, 16, 19, 23)	7	0.7940093874931335	0.07237207889556885	2	7
0.047718197042865965	0.02065319749757689	-4571.334973055402	-1000000003404.7651	-40.511704378129984	-63.604899784338	7	(2, 5, 9, 14, 15, 18, 27)	7	0.7683494687080383	0.07604987919330597	2	7
0.044262923873156196	0.02025191199330328	-2532.373177926394	-1000000002424.7301	-38.92961390468997	-62.681328668964724	7	(1, 3, 4, 5, 14, 19, 23)	7	0.7780470848083496	0.07294002175331116	2	7
