offset	max_var	min_est	log_det	combination	has_repeats	dcbc
1e-06	0.016011641811702382	1003991.4818444432	-51.035375128488155	(7, 10, 3, 16, 8, 9, 13, 8)	1	0.04548577591776848
0.001	0.023004641811702385	3104.863313171632	-41.31369174112509	(7, 10, 3, 16, 8, 9, 13, 8)	1	0.04548577591776848
0.1	0.7160046418117024	68.45849890698715	-15.961040188798647	(7, 10, 3, 16, 8, 9, 13, 8)	1	0.04548577591776848
1e-06	0.01940267399300779	1017165.5233284292	-53.05458367441004	(27, 10, 27, 25, 15, 19, 23, 6)	1	0.043789759278297424
0.001	0.02639567399300779	3464.935236469151	-41.27122610164331	(27, 10, 27, 25, 15, 19, 23, 6)	1	0.043789759278297424
0.1	0.7193956739930077	68.16204477936367	-15.929323061889999	(27, 10, 27, 25, 15, 19, 23, 6)	1	0.043789759278297424
1e-06	0.02317685113502617	1008627.4158957774	-51.91351279911478	(8, 24, 15, 20, 22, 15, 3, 13)	1	0.04580958932638168
0.001	0.030169851135026175	3379.2056815322258	-41.0039130642848	(8, 24, 15, 20, 22, 15, 3, 13)	1	0.04580958932638168
0.1	0.7231698511350261	67.86871747550524	-15.896023417914053	(8, 24, 15, 20, 22, 15, 3, 13)	1	0.04580958932638168
1e-06	0.019306080983173265	6166.693906249707	-44.19628366600589	(17, 13, 6, 2, 9, 7, 0, 12)	0	0.042641591280698776
0.001	0.026299080983173264	2653.8465137792805	-40.38376813648588	(17, 13, 6, 2, 9, 7, 0, 12)	0	0.042641591280698776
0.1	0.7192990809831733	68.15556976138434	-15.929456983632978	(17, 13, 6, 2, 9, 7, 0, 12)	0	0.042641591280698776
1e-06	0.02247937830868118	4050.01046925016	-42.248137993417856	(23, 13, 12, 24, 0, 15, 18, 7)	0	0.04775132238864899
0.001	0.02947237830868118	2226.2235489584755	-39.333246647315036	(23, 13, 12, 24, 0, 15, 18, 7)	0	0.04775132238864899
0.1	0.7224723783086812	67.85626556313113	-15.898647309869578	(23, 13, 12, 24, 0, 15, 18, 7)	0	0.04775132238864899
1e-06	0.016986548299816804	1004376.1628749255	-50.92177006831279	(1, 12, 3, 16, 19, 11, 12, 0)	1	0.04085256904363632
0.001	0.023979548299816803	3087.3560472291174	-41.12808501852578	(1, 12, 3, 16, 19, 11, 12, 0)	1	0.04085256904363632
0.1	0.7169795482998168	68.36893231182451	-15.951697298320278	(1, 12, 3, 16, 19, 11, 12, 0)	1	0.04085256904363632
1e-06	0.026013879616489346	4318.611635094103	-41.75698423216496	(21, 3, 2, 13, 15, 9, 5, 23)	0	0.04985620826482773
0.001	0.03300687961648935	2182.3905895952794	-38.80408149328521	(21, 3, 2, 13, 15, 9, 5, 23)	0	0.04985620826482773
0.1	0.7260068796164895	67.53730055283444	-15.86507207630835	(21, 3, 2, 13, 15, 9, 5, 23)	0	0.04985620826482773
1e-06	0.01759159246814008	1004320.7533059139	-51.17880070040014	(10, 16, 26, 4, 10, 1, 17, 7)	1	0.04824177548289299
0.001	0.02458459246814008	3167.737816086693	-41.3191997817455	(10, 16, 26, 4, 10, 1, 17, 7)	1	0.04824177548289299
0.1	0.7175845924681401	68.33145065912395	-15.94685044388714	(10, 16, 26, 4, 10, 1, 17, 7)	1	0.04824177548289299
1e-06	0.018422550092120543	5119.500850992103	-43.76287428440919	(7, 18, 1, 22, 28, 15, 27, 14)	0	0.04779864847660065
0.001	0.025415550092120542	2519.6263462351303	-40.32814911723674	(7, 18, 1, 22, 28, 15, 27, 14)	0	0.04779864847660065
0.1	0.7184155500921205	68.23317093617882	-15.937743654507017	(7, 18, 1, 22, 28, 15, 27, 14)	0	0.04779864847660065
1e-06	0.01895255216338482	1003599.1111294292	-50.39478312480425	(28, 25, 23, 24, 16, 0, 23, 6)	1	0.041155628859996796
0.001	0.02594555216338482	2996.91609227985	-40.871567405386	(28, 25, 23, 24, 16, 0, 23, 6)	1	0.041155628859996796
0.1	0.7189455521633848	68.20168455456131	-15.933561860730563	(28, 25, 23, 24, 16, 0, 23, 6)	1	0.041155628859996796
1e-06	0.015248503273891004	1005146.6020862492	-51.86246920789568	(27, 7, 4, 21, 16, 27, 12, 20)	1	0.04351460933685303
0.001	0.022241503273891003	3294.5129416519353	-41.68359368644136	(27, 7, 4, 21, 16, 27, 12, 20)	1	0.04351460933685303
0.1	0.715241503273891	68.53373804196414	-15.968619580420581	(27, 7, 4, 21, 16, 27, 12, 20)	1	0.04351460933685303
1e-06	0.019256480969766503	1003380.57047654	-50.005313897580415	(1, 8, 23, 27, 15, 9, 7, 25)	0	0.049513887614011765
0.001	0.026249480969766502	2900.9972433846337	-40.62952665794235	(1, 8, 23, 27, 15, 9, 7, 25)	0	0.049513887614011765
0.1	0.7192494809697665	68.16470419892335	-15.93017177130317	(1, 8, 23, 27, 15, 9, 7, 25)	0	0.049513887614011765
1e-06	0.01839079612574792	1003507.5468406111	-49.91293404843317	(21, 1, 20, 2, 19, 27, 10, 25)	0	0.037785012274980545
0.001	0.02538379612574792	2850.877740165496	-40.559851737228996	(21, 1, 20, 2, 19, 27, 10, 25)	0	0.037785012274980545
0.1	0.7183837961257479	68.23210076952734	-15.937833888345923	(21, 1, 20, 2, 19, 27, 10, 25)	0	0.037785012274980545
1e-06	0.014902111285115868	10234.320283932473	-46.67004623784564	(2, 25, 8, 6, 4, 1, 9, 21)	0	0.04625951498746872
0.001	0.02189511128511587	3133.160056952157	-41.58544493046883	(2, 25, 8, 6, 4, 1, 9, 21)	0	0.04625951498746872
0.1	0.7148951112851158	68.56356581090998	-15.97183702722245	(2, 25, 8, 6, 4, 1, 9, 21)	0	0.04625951498746872
1e-06	0.019876487584759753	2003869.7644473147	-58.13163116222968	(6, 4, 17, 16, 10, 10, 3, 16)	1	0.0436413511633873
0.001	0.026869487584759752	3748.1270243902027	-41.83798981355279	(6, 4, 17, 16, 10, 10, 3, 16)	1	0.0436413511633873
0.1	0.7198694875847598	68.15602454165716	-15.926769650446154	(6, 4, 17, 16, 10, 10, 3, 16)	1	0.0436413511633873
1e-06	0.014937435754451356	10312.040885738268	-46.53318968440748	(6, 1, 27, 0, 10, 4, 9, 19)	0	0.033881448209285736
0.001	0.021930435754451357	3096.559517091633	-41.52629446297126	(6, 1, 27, 0, 10, 4, 9, 19)	0	0.033881448209285736
0.1	0.7149304357544514	68.55935607376873	-15.971449567974215	(6, 1, 27, 0, 10, 4, 9, 19)	0	0.033881448209285736
1e-06	0.01976712394186056	1074953.3864263773	-54.737621681742375	(26, 1, 13, 15, 16, 20, 1, 25)	1	0.04616440460085869
0.001	0.02676012394186056	3526.484262996937	-41.29428774911897	(26, 1, 13, 15, 16, 20, 1, 25)	1	0.04616440460085869
0.1	0.7197601239418606	68.13314160557971	-15.92607401901572	(26, 1, 13, 15, 16, 20, 1, 25)	1	0.04616440460085869
1e-06	0.018038366257983468	9628.533684337932	-45.05934881968795	(16, 18, 1, 26, 3, 10, 0, 12)	0	0.04731038212776184
0.001	0.025031366257983467	2762.264946726361	-40.626856192740725	(16, 18, 1, 26, 3, 10, 0, 12)	0	0.04731038212776184
0.1	0.7180313662579835	68.26950837729959	-15.941475646096896	(16, 18, 1, 26, 3, 10, 0, 12)	0	0.04731038212776184
1e-06	0.0143171740363196	2003824.7378240866	-59.247275443284295	(21, 20, 19, 28, 16, 7, 28, 7)	1	0.0423663966357708
0.001	0.0213101740363196	3935.1882102474865	-42.78404641594069	(21, 20, 19, 28, 16, 7, 28, 7)	1	0.0423663966357708
0.1	0.7143101740363196	68.648894391552	-15.979089843884527	(21, 20, 19, 28, 16, 7, 28, 7)	1	0.0423663966357708
1e-06	0.019507520704529088	5087.505089479097	-43.60548066593641	(20, 16, 12, 24, 23, 11, 28, 19)	0	0.04657384753227234
0.001	0.026500520704529087	2519.5335321310536	-40.15365115989006	(20, 16, 12, 24, 23, 11, 28, 19)	0	0.04657384753227234
0.1	0.7195005207045291	68.13209403701237	-15.927269568065832	(20, 16, 12, 24, 23, 11, 28, 19)	0	0.04657384753227234
1e-06	0.01758060391297763	1015287.6070217714	-52.63160359305945	(23, 4, 22, 11, 10, 1, 24, 24)	1	0.04168957471847534
0.001	0.024573603912977634	3331.0718451299217	-41.33600709394356	(23, 4, 22, 11, 10, 1, 24, 24)	1	0.04168957471847534
0.1	0.7175736039129776	68.322417456641	-15.946423299824152	(23, 4, 22, 11, 10, 1, 24, 24)	1	0.04168957471847534
1e-06	0.021630069082114782	1002728.9260680873	-48.935187663721784	(23, 7, 18, 2, 12, 18, 28, 11)	1	0.04790250584483147
0.001	0.02862306908211478	2673.6066897140568	-39.93443624881683	(23, 7, 18, 2, 12, 18, 28, 11)	1	0.04790250584483147
0.1	0.7216230690821148	67.93992296653737	-15.907074891766603	(23, 7, 18, 2, 12, 18, 28, 11)	1	0.04790250584483147
1e-06	0.018037717800717744	1003870.8697040629	-50.561064155174144	(13, 14, 21, 21, 27, 5, 16, 15)	1	0.04352325201034546
0.001	0.025030717800717743	3024.4052992123034	-40.94415582817007	(13, 14, 21, 21, 27, 5, 16, 15)	1	0.04352325201034546
0.1	0.7180307178007178	68.27529910972213	-15.94177675308001	(13, 14, 21, 21, 27, 5, 16, 15)	1	0.04352325201034546
1e-06	0.017366754760506312	6308.765148738039	-44.95772184567317	(21, 23, 0, 24, 16, 17, 11, 8)	0	0.0394524522125721
0.001	0.02435975476050631	2822.899088647326	-40.92652103011376	(21, 23, 0, 24, 16, 17, 11, 8)	0	0.0394524522125721
0.1	0.7173597547605063	68.33780409961949	-15.948253271042763	(21, 23, 0, 24, 16, 17, 11, 8)	0	0.0394524522125721
1e-06	0.015795172363818007	1008735.5805666426	-52.79892912246214	(8, 27, 16, 27, 19, 3, 0, 22)	1	0.04175151139497757
0.001	0.022788172363818002	3478.956699654526	-41.82597225844415	(8, 27, 16, 27, 19, 3, 0, 22)	1	0.04175151139497757
0.1	0.7157881723638181	68.48823624060772	-15.963623766877378	(8, 27, 16, 27, 19, 3, 0, 22)	1	0.04175151139497757
1e-06	0.01670058360785589	1002913.7089113097	-49.94485031773371	(26, 11, 24, 14, 19, 22, 3, 22)	1	0.04580902308225632
0.001	0.02369358360785589	2822.3411433673227	-40.77089952974386	(26, 11, 24, 14, 19, 22, 3, 22)	1	0.04580902308225632
0.1	0.7166935836078558	68.38528986683605	-15.95392606509224	(26, 11, 24, 14, 19, 22, 3, 22)	1	0.04580902308225632
1e-06	0.016384263833313453	93549.52991569403	-50.82848137700121	(18, 12, 16, 17, 10, 15, 22, 21)	0	0.04443800076842308
0.001	0.023377263833313452	3607.7448529169583	-41.99366242359435	(18, 12, 16, 17, 10, 15, 22, 21)	0	0.04443800076842308
0.1	0.7163772638333135	68.44335670430456	-15.95845702714144	(18, 12, 16, 17, 10, 15, 22, 21)	0	0.04443800076842308
1e-06	0.020650363903765196	1003598.8897831273	-49.88567692774484	(20, 19, 23, 26, 24, 4, 18, 18)	1	0.04520627483725548
0.001	0.027643363903765192	2900.400197899065	-40.453469722355834	(20, 19, 23, 26, 24, 4, 18, 18)	1	0.04520627483725548
0.1	0.7206433639037652	68.04079153718854	-15.917030457955265	(20, 19, 23, 26, 24, 4, 18, 18)	1	0.04520627483725548
1e-06	0.015331177621712757	2006722.7022399474	-59.230323634030924	(11, 13, 25, 28, 19, 6, 26, 28)	1	0.04154452681541443
0.001	0.022324177621712755	3871.396448229186	-42.349892280632034	(11, 13, 25, 28, 19, 6, 26, 28)	1	0.04154452681541443
0.1	0.7153241776217127	68.54077455977794	-15.968586088592593	(11, 13, 25, 28, 19, 6, 26, 28)	1	0.04154452681541443
1e-06	0.018447563718521805	8818.151499070556	-45.467093110280274	(10, 12, 0, 1, 9, 20, 21, 15)	0	0.04444904252886772
0.001	0.0254405637185218	2926.0671050314727	-40.86924738759244	(10, 12, 0, 1, 9, 20, 21, 15)	0	0.04444904252886772
0.1	0.7184405637185218	68.24247469292987	-15.938104101354675	(10, 12, 0, 1, 9, 20, 21, 15)	0	0.04444904252886772
1e-06	0.01774665268503559	2020042.416599002	-59.53486784766369	(6, 20, 25, 16, 26, 6, 5, 2)	1	0.0420290045440197
