n_task	metric	correlation
4	inverse_trace_mc	0.6219768859096669
4	random	0.6060216784013877
4	variance	0.5112552880412355
4	variance_mc	0.5746785980257115
4	log_det_mc	0.6776237955346582
4	inverse_trace_mc	0.683323431852171
4	random	0.4856890355226294
4	variance	0.6708513893248806
4	variance_mc	0.6718715941533872
4	log_det_mc	0.6714104446971035
4	inverse_trace_mc	0.6509890699006369
4	random	0.5797601700002052
4	variance	0.6551916874323175
4	variance_mc	0.6148553258690184
4	log_det_mc	0.6511522097416238
4	inverse_trace_mc	0.6588549630909191
4	random	0.5347676225496169
4	variance	0.5774311648738097
4	variance_mc	0.5894390740841635
4	log_det_mc	0.629364159900448
4	inverse_trace_mc	0.598854187846185
4	random	0.49055305162808266
4	variance	0.5611704652502557
4	variance_mc	0.5092552123652415
4	log_det_mc	0.5981771494494555
4	inverse_trace_mc	0.5937961471156781
4	random	0.525223828007629
4	variance	0.6290165958494316
4	variance_mc	0.6462247922692667
4	log_det_mc	0.6342806265501189
4	inverse_trace_mc	0.6335832728309476
4	random	0.4862214822265775
4	variance	0.6448969538618173
4	variance_mc	0.6530059397408579
4	log_det_mc	0.6457171518483109
4	inverse_trace_mc	0.6194288399814583
4	random	0.4334773630309917
4	variance	0.6146270709048045
4	variance_mc	0.6550823636974776
4	log_det_mc	0.6460940151277009
4	inverse_trace_mc	0.6674321053382531
4	random	0.47682997639722435
4	variance	0.6349705592622809
4	variance_mc	0.627920972947493
4	log_det_mc	0.6458604030991866
4	inverse_trace_mc	0.6561122308237566
4	random	0.6671312565290755
4	variance	0.6118565208685567
4	variance_mc	0.6443037456063279
4	log_det_mc	0.6464562513335221
4	inverse_trace_mc	0.6495900056281322
4	random	0.5783068624496807
4	variance	0.5227069706757843
4	variance_mc	0.5234960166177397
4	log_det_mc	0.5954186125390333
4	inverse_trace_mc	0.5935200039554079
4	random	0.475671833463438
4	variance	0.5260073700752327
4	variance_mc	0.6025678218242868
4	log_det_mc	0.6247726910926763
4	inverse_trace_mc	0.6129409971435904
4	random	0.5250608163822907
4	variance	0.6286404798634553
4	variance_mc	0.5660308385230204
4	log_det_mc	0.6292103716191315
4	inverse_trace_mc	0.6400133537311514
4	random	0.49166894264565086
4	variance	0.6423000987117297
4	variance_mc	0.6174083382382296
4	log_det_mc	0.6178753023986291
4	inverse_trace_mc	0.6233166671658557
4	random	0.48621880901137515
4	variance	0.5669206657032875
