n_task	metric	roi	avg_cos_sim_per_subject
6	variance_mc	visual_cortex	0.44752784073352814
6	variance_mc	visual_cortex	0.25517030954360964
6	variance_mc	visual_cortex	0.42802718430757525
6	variance_mc	visual_cortex	0.4934756740927696
6	variance_mc	visual_cortex	0.3236860901117325
6	variance_mc	visual_cortex	0.358081217110157
6	variance_mc	visual_cortex	0.4051992177963257
6	variance_mc	visual_cortex	0.3693707764148712
6	variance_mc	visual_cortex	0.5020725443959236
6	variance_mc	visual_cortex	0.433017298579216
6	variance_mc	visual_cortex	0.4669381186366081
6	variance_mc	visual_cortex	0.4139605060219765
6	variance_mc	visual_cortex	0.4369934558868408
6	variance_mc	visual_cortex	0.43693023175001144
6	variance_mc	visual_cortex	0.322536301612854
6	variance_mc	visual_cortex	0.252608023583889
6	variance_mc	visual_cortex	0.4134504109621048
7	inverse_trace_mc	visual_cortex	0.38396389335393905
7	inverse_trace_mc	visual_cortex	0.41859638690948486
7	inverse_trace_mc	visual_cortex	0.2802655465900898
7	inverse_trace_mc	visual_cortex	0.5305072098970414
7	inverse_trace_mc	visual_cortex	0.33469197899103165
7	inverse_trace_mc	visual_cortex	0.43774431347846987
7	inverse_trace_mc	visual_cortex	0.47895421236753466
7	inverse_trace_mc	visual_cortex	0.4659288600087166
7	inverse_trace_mc	visual_cortex	0.2602237477898598
7	inverse_trace_mc	visual_cortex	0.4288367465138435
7	inverse_trace_mc	visual_cortex	0.4983492836356163
7	inverse_trace_mc	visual_cortex	0.3459078922867775
7	inverse_trace_mc	visual_cortex	0.36795237958431243
7	inverse_trace_mc	visual_cortex	0.3996530845761299
7	inverse_trace_mc	visual_cortex	0.3888978064060211
7	inverse_trace_mc	visual_cortex	0.4996641010046005
7	inverse_trace_mc	visual_cortex	0.4238140732049942
7	inverse_trace_mc	visual_cortex	0.4815931722521782
7	inverse_trace_mc	visual_cortex	0.3931025698781013
7	inverse_trace_mc	visual_cortex	0.44218952506780623
7	inverse_trace_mc	visual_cortex	0.43889923542737963
7	inverse_trace_mc	visual_cortex	0.33345290571451186
7	inverse_trace_mc	visual_cortex	0.2633088804781437
7	inverse_trace_mc	visual_cortex	0.4376814663410187
7	log_det_mc	visual_cortex	0.3819716766476631
7	log_det_mc	visual_cortex	0.42168380618095397
