n_task	metric	accuracy
3	variance	0.4236409474351521
3	variance_mc	0.5849061182765315
3	log_det_mc	0.801172837160896
3	inverse_trace_mc	0.8241640875877657
3	random	0.7350817498547889
3	variance	0.8376379338055093
3	variance_mc	0.8465678615216199
3	log_det_mc	0.8294136966567098
3	inverse_trace_mc	0.8517280126672109
3	random	0.6620369844188004
3	variance	0.7123566712519636
3	variance_mc	0.7052737950183922
3	log_det_mc	0.7058697284383989
3	inverse_trace_mc	0.8461141050251199
3	random	0.692174140362741
3	variance	0.7878790791526362
3	variance_mc	0.820835199269494
3	log_det_mc	0.6842316126460125
3	inverse_trace_mc	0.6690633894547522
3	random	0.5685238485238486
3	variance	0.8284724125105103
3	variance_mc	0.8621930860719411
3	log_det_mc	0.730044357859036
3	inverse_trace_mc	0.7503619208921585
3	random	0.8289024014595544
3	variance	0.6840280184717754
3	variance_mc	0.7550931284977438
3	log_det_mc	0.7431957607669407
3	inverse_trace_mc	0.7509764042422993
3	random	0.5891165759452246
3	variance	0.8617404974756584
3	variance_mc	0.843074455855518
3	log_det_mc	0.8623664697287925
3	inverse_trace_mc	0.8565335916460441
3	random	0.6670801547258215
3	variance	0.6735374749975973
3	variance_mc	0.6917831797768903
3	log_det_mc	0.7499177911389256
3	inverse_trace_mc	0.7618697048839244
3	random	0.8085471111106287
3	variance	0.6775175003760293
3	variance_mc	0.8501328540987064
3	log_det_mc	0.831191910105988
3	inverse_trace_mc	0.8371821944107798
3	random	0.5349798647906975
3	variance	0.6086286090167288
3	variance_mc	0.7343547897532793
3	log_det_mc	0.7232729428430311
3	inverse_trace_mc	0.7728174225286942
3	random	0.7318033161510814
3	variance	0.6400617295564864
3	variance_mc	0.893591143252844
3	log_det_mc	0.7930100870766387
3	inverse_trace_mc	0.7943157488966183
4	random	0.8314304636842185
4	variance	0.742597711234169
4	variance_mc	0.7756785233898398
4	log_det_mc	0.7537558672435426
4	inverse_trace_mc	0.8756531511334288
4	random	0.7830547387442852
4	variance	0.7240980745531487
4	variance_mc	0.7142478334823019
4	log_det_mc	0.7224982172963954
4	inverse_trace_mc	0.7061610451600191
4	random	0.8297483936832443
4	variance	0.7782716240885204
4	variance_mc	0.8361352821951208
4	log_det_mc	0.7883982839766787
4	inverse_trace_mc	0.8603248544217017
4	random	0.765708616408018
4	variance	0.677459817766205
4	variance_mc	0.7493145054754115
4	log_det_mc	0.6985344779455231
4	inverse_trace_mc	0.7523391638811832
4	random	0.8378678194112017
4	variance	0.7280324608893571
4	variance_mc	0.8269280165358448
4	log_det_mc	0.8218040962760293
4	inverse_trace_mc	0.8338807613959708
4	random	0.795119728249654
4	variance	0.785122960116508
4	variance_mc	0.8562053315136939
4	log_det_mc	0.9021305470319048
4	inverse_trace_mc	0.8830831168295195
4	random	0.7076706988418336
4	variance	0.7966629084041229
4	variance_mc	0.7302772561201252
4	log_det_mc	0.8344895306713488
4	inverse_trace_mc	0.8113362031921305
4	random	0.8710731725871416
4	variance	0.7300577098821002
4	variance_mc	0.8028037891195017
4	log_det_mc	0.8924447565746318
4	inverse_trace_mc	0.8979562336846844
4	random	0.8550633377297591
4	variance	0.5425231696947387
4	variance_mc	0.8432488825822454
4	log_det_mc	0.8458622850052399
4	inverse_trace_mc	0.793601179360848
4	random	0.7261747983425342
4	variance	0.8474191920523607
4	variance_mc	0.7695917543170969
4	log_det_mc	0.8051637051769872
4	inverse_trace_mc	0.8026521817479815
4	random	0.8292411229369405
4	variance	0.7544178639945661
4	variance_mc	0.7989711639652487
4	log_det_mc	0.8171895672421439
4	inverse_trace_mc	0.8067165325700668
4	random	0.7689845805177402
4	variance	0.8633329166198479
4	variance_mc	0.7397227838764953
4	log_det_mc	0.7962048802859135
4	inverse_trace_mc	0.8101509289125275
4	random	0.7421069395840972
4	variance	0.8346433952787544
4	variance_mc	0.863769306866497
4	log_det_mc	0.8546842923732278
4	inverse_trace_mc	0.8593873720083747
4	random	0.7877516226138851
4	variance	0.8281193078429929
4	variance_mc	0.8071735224822064
4	log_det_mc	0.8500968955130883
4	inverse_trace_mc	0.8592728507214356
